date,segment_count,unclassified_photon_count,ground_photon_count,canopy_photon_count,top_of_canopy_photon_count,noise_photon_count
2021-02-25,324,67237,84964,71076,18076,1538597
2021-05-27,324,12403,26654,34399,9541,328536
2021-08-26,322,4677,19956,17375,5984,986
2021-11-25,324,13493,38103,34381,11407,1143
2021-12-25,212,3252,4037,8721,3088,69036
